filename,staticO0,dynamicO0,staticO1,dynamicO1,staticOz,dynamicOz,staticO2,dynamicO2,output_O0,output_O1,output_O2,output_Oz
extr_linuxdriversinfinibandhwocrdmaocrdma_verbs.c_get_encoded_page_size.c,21,247,14,131,13,130,14,131,17,17,17,17
extr_radare2librutilidpool.c_get_msb.c,30,385,12,154,14,182,14,204,128,128,128,128
extr_linuxdriversinputmousealps.c_alps_get_bitmap_points.c,44,207,26,124,24,129,29,146,,,,
extr_SoftEtherVPNsrcSeeOpenclos.c_PacketItoa.c,33,269,25,187,18,110,172,172,,,,
extr_Mirai-Source-Codemiraibotchecksum.c_checksum_generic.c,40,1680,27,783,23,781,93,233,18446744073709516552,18446744073709516552,18446744073709516552,18446744073709516552
extr_FFmpeglibavcodecexrdsp.c_predictor_scalar.c,23,4074,17,1788,14,2293,51,1360,,,,
extr_linuxdriversmediausbcx231xxcx231xx-video.c_cx231xx_swab.c,36,3322,25,1159,18,1280,99,291,,,,
extr_libgit2srcdiff_stats.c_digits_for_value.c,17,29,15,20,11,18,15,20,3,3,3,3
extr_nodemcu-firmwareappsqlite3sqlite3.c_btreeHeapPull.c,72,95,38,47,35,47,37,45,1,1,1,1
extr_linuxdriversnetethernetbroadcombnx2xbnx2x_reg.h_calc_crc8.c,207,791,256,564,256,615,289,422,34,34,34,34
extr_kphp-kdbvkextcrc32.c_gf32_matrix_times.c,25,146,17,87,13,71,17,87,109798,109798,109798,109798
extr_linuxdriversgpudrmamdamdgpuamdgpu_ring.c_amdgpu_ring_is_blacklisted.c,25,356,16,133,17,185,16,133,1,1,1,1
extr_stbtestscaveviewcave_parse.c_nbt_get_string_data.c,45,6637,24,2301,19,2301,24,2301,,,,
extr_linuxdriversnetethernetintele1000emanage.c_e1000_calculate_checksum.c,26,3077,17,1033,14,1286,72,360,-29841555,-29841555,-29841555,-29841555
extr_linuxdriversnetwirelessathcarl9170phy.c_carl9170_find_freq_idx.c,25,43,18,25,13,25,17,27,251,251,251,251
extr_FFmpeglibavcodecdirac_arith.h_renorm.c,21,104,19,44,12,49,19,44,,,,
extr_raspberry-pi-osexerciseslesson051xdfm1srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_hashcatsrcwordlist.c_get_next_word_lm.c,39,174,24,96,24,104,76,76,,,,
extr_stbtools..stb.h_stb_bitset_subset.c,28,4603,18,1796,16,2050,18,1796,1,1,1,1
extr_nodemcu-firmwareappmodulesbme280.c_ln.c,34,244,27,187,25,171,49,49,4.796863,4.796863,4.796863,4.796863
extr_stbtests..stb_ds.h_stbds_log2.c,16,72,14,44,10,42,14,44,7,7,7,7
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_11.c,48,1858,36,1184,41,1263,91,616,,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_decode10.c,37,6392,27,3329,19,2307,56,3458,,,,
extr_gitxdiffxutils.c_xdl_num_out.c,70,164,54,101,36,72,46,91,3,3,3,3
extr_h2odepshiredissds.c_sdsll2str.c,64,103,42,68,34,54,42,68,3,3,3,3
extr_linuxdriverscharipmiipmi_msghandler.c_ipmb_checksum.c,25,3583,18,1796,14,2048,42,860,f,f,f,f
extr_reactosmodulesrosappsapplicationsnettsclientrdesktopxclip.c_crlf2lf.c,37,10560,23,5281,21,5761,25,5761,,,,
extr_darknetsrcgemm.c_gemm_nt.c,64,366158853,61,116917785,54,133434134,99,92599979,,,,
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_security.c_secmicputuint32.c,24,77,12,30,12,35,15,15,,,,
extr_raspberry-pi-osexerciseslesson044avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversstagingrtl8723bscorertw_security.c_xor_128.c,23,250,12,102,12,119,52,52,,,,
extr_masscansrcmain-conf.c_count_cidr_bits.c,34,802,27,492,24,374,34,355,0,0,0,0
extr_darknetsrcblas.c_mul_cpu.c,28,4603,19,1797,19,2053,61,1321,,,,
extr_linuxsecurityselinuxssservices.c_match_ipv6_addrmask.c,32,88,23,42,16,43,22,22,1,1,1,1
extr_os-tutorial22-malloclibcmem.c_memory_set.c,21,3071,12,1028,10,1282,67,159,,,,
extr_nginxsrchttpmodulesngx_http_log_module.c_ngx_http_log_copy_short.c,31,8163,19,3843,14,3362,38,1822,,,,
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_security.c_xor_128.c,23,250,12,102,12,119,52,52,,,,
extr_FFmpeglibavfiltervf_transpose.c_transpose_block_8_c.c,44,980744,34,392972,30,457742,120,207124,,,,
extr_FFmpeglibavcodecmipsvc1dsp_mmi.c_ff_vc1_v_s_overlap_mmi.c,75,539,47,278,50,290,47,278,,,,
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_security.c_xor_32.c,23,70,12,30,12,35,16,16,,,,
extr_opensslcryptoideai_skey.c_inverse.c,44,85,32,51,26,44,45,70,32640,32640,32640,32640
extr_linuxdriversstagingrtl8188eucorertw_security.c_bitwise_xor.c,23,250,12,102,12,119,52,52,,,,
extr_FFmpeglibavresampledither.c_dither_highpass_filter.c,38,7855,19,2539,18,2540,41,2291,,,,
extr_FFmpeglibavcodecsnow_dwt.c_vertical_decompose53iL0.c,28,4857,18,2304,17,2559,81,681,,,,
extr_linuxnetdecnetdn_neigh.c_dn_find_slot.c,45,5020,27,2562,27,2768,43,1980,,,,
extr_os-tutorial18-interruptskernelutil.c_memory_copy.c,21,3326,14,1284,13,1539,106,140,,,,
extr_Mirai-Source-Codemiraibotutil.c_util_memsearch.c,40,5622,30,3328,29,3582,30,3328,255,255,255,255
extr_darwin-xnuosfmki386i386_init.c_fillkpt.c,30,5113,20,2052,19,2307,32,1670,,,,
extr_reactosmodulesrosappsapplicationsnetdhcpdsrcutilsmacutils.c_maccmp.c,24,251,16,121,16,138,58,58,-1,-1,-1,-1
extr_wcdbandroidsqlciphersqlite3.c_sqlite3Pow10.c,27,135,21,75,14,67,21,75,1000000000000000405203471749632345419882149767845446218224763610173108155667148144548206983510949786648805142042101637107774405017306152425933592546209857769066644399783611472878653553319548469570575175566489928833096292883906673461747518354468587362582528.000000,1000000000000000405203471749632345419882149767845446218224763610173108155667148144548206983510949786648805142042101637107774405017306152425933592546209857769066644399783611472878653553319548469570575175566489928833096292883906673461747518354468587362582528.000000,1000000000000000405203471749632345419882149767845446218224763610173108155667148144548206983510949786648805142042101637107774405017306152425933592546209857769066644399783611472878653553319548469570575175566489928833096292883906673461747518354468587362582528.000000,1000000000000000405203471749632345419882149767845446218224763610173108155667148144548206983510949786648805142042101637107774405017306152425933592546209857769066644399783611472878653553319548469570575175566489928833096292883906673461747518354468587362582528.000000
extr_hashcatdepsLZMA-SDKCXz.c_Xz_WriteVarInt.c,29,44,19,29,18,28,19,29,2,2,2,2
extr_kphp-kdbutilreplicator.c_convert_md5_to_hex.c,39,491,19,199,19,216,19,199,,,,
extr_darknetexamplesgo.c_flip_board.c,41,12643,17,3257,17,3979,33,825,,,,
extr_linuxlibrational.c_rational_best_approximation.c,66,74,48,58,41,48,47,51,,,,
extr_ccvlib3rdpartykissfftkiss_fft.c_kiss_fft_next_fast_size.c,53,179,56,122,30,98,54,118,256,256,256,256
extr_linuxscriptsmodmodpost.c_next_string.c,23,6714,16,3840,14,3838,14,3838,,,,
extr_reactoswin32ssprintingbasewinspooldevmode.c__FixStringA.c,28,644,17,324,14,324,17,324,,,,
extr_emscriptensystemliblibcmuslsrcnetworkgetnameinfo.c_itoa.c,33,69,23,49,17,35,23,49,,,,
extr_linuxdriversnetethernethuaweihinichinic_hw_eqs.c_eq_cons_idx_checksum_set.c,21,107,15,64,15,73,26,26,0,0,0,0
extr_rufussrcparser.c_make_flagged_int.c,56,106,29,57,26,56,25,25,257,257,257,257
extr_linuxdriversstagingiioadcad7280a.c_ad7280_crc8_build_table.c,35,36616,24,16903,24,19209,86,896,,,,
extr_linuxdriversnetethernetfreescalefmanfman_memac.c_get_mac_addr_hash_code.c,42,766,25,331,25,387,102,102,0,0,0,0
extr_h2odepspicotlsdepscifrasrcpoly1305.c_poly1305_min_reduce.c,62,636,30,240,30,274,138,138,,,,
extr_darwin-xnubsdnetinetin.c_in_socktrim.c,31,57,16,34,15,33,18,18,,,,
extr_gitlog-tree.c_digits_in_number.c,17,29,15,20,11,18,15,20,3,3,3,3
